id,name,team,minutes_average,passes_accuracy,take_ons_accuracy,challenges_accuracy,tackles_accuracy,shots_accuracy,saves_accuracy,external_id,matches_played,starts,minutes,progressive_carries,progressive_passes,progressive_passes_received,touches,carries,miscontrols,dispossessed,passes_completed,passes_attempted,take_ons_attempted,successful_take_ons,tackles,tackles_won,blocks,shots_blocked,passes_blocked,interceptions,clearances,recoveries,dribblers_challenged,challenges_lost,errors,shot_creating_actions,goal_creating_actions,shots_total,shots_on_target,expected_goals,expected_assists,key_passes,carries_into_final_third,offsides,gk_shots_on_target_against,gk_saves
77,Alex Scott,Bournemouth,37.75,83.65,23.64,44.94,52.63,40.63,0,104d0bb8,20,8,755,0.32,1.11,0.7,10.32,5.26,0.49,0.17,6.09,7.28,0.55,0.13,0.57,0.3,0.36,0.09,0.28,0.21,0.32,1.11,0.89,0.49,0,0.62,0.04,0.32,0.13,0.01,0.02,0.26,0.21,0,0,0
78,Antoine Semenyo,Bournemouth,86.57,73.38,51.27,37.17,63.45,31.91,0,efd2ec23,37,36,"3,203",3.68,2.87,7.42,43.5,25.76,2.21,2.03,21.61,29.45,3.55,1.82,1.45,0.92,1.76,0.24,1.53,0.29,1.03,4.16,1.13,0.71,0.05,3.47,0.34,3.29,1.05,0.26,0.11,1.21,1.82,0.39,0,0
79,Marcos Senesi,Bournemouth,65.06,76.31,60.47,45.19,53.53,0,0,35141f4c,17,13,1106,0.52,2.7,0.3,38.65,24.09,0.3,0.26,24.39,31.96,0.43,0.26,1.7,0.91,0.7,0.3,0.39,0.61,2.52,3.09,1.35,0.74,0,0.7,0.04,0.13,0,0.03,0.02,0.13,0.7,0,0,0
80,Luis Sinisterra,Bournemouth,19.67,78.49,40.54,0,30.77,45.83,0,8e16dd48,12,1,236,0.35,0.11,0.7,2.87,1.76,0.11,0.06,1.35,1.72,0.37,0.15,0.13,0.04,0.06,0,0.06,0.02,0.15,0.31,0.07,0.07,0,0.26,0.02,0.24,0.11,0.02,0.02,0.17,0.11,0.02,0,0
81,Adam Smith,Bournemouth,63.6,75.72,36.96,51.95,49.28,0,0,20b104bc,25,19,"1,590",0.43,1.4,0.97,23.57,10.46,0.37,0.2,14.69,19.4,0.46,0.17,0.69,0.34,0.37,0.14,0.23,0.43,1.4,1.43,0.77,0.37,0.03,0.66,0.06,0.09,0,0.02,0.02,0.23,0.51,0,0,0
83,Marcus Tavernier,Bournemouth,66.86,73.78,43.11,36.23,56.36,30.14,0,5c0da4a4,29,20,"1,939",1.36,3.28,3.31,30.67,18.08,1.18,1.21,17.67,23.95,1.67,0.72,1.1,0.62,0.41,0.08,0.33,0.13,0.28,3.05,0.69,0.44,0,2.51,0.28,1.46,0.44,0.14,0.09,1.1,1.31,0.1,0,0
84,Mark Travers,Bournemouth,90,63.55,0,0,0,0,77.05,fe558029,17,17,1530,0,0,0,34.59,18.24,0.06,0,20,31.47,0,0,0,0,0,0,0,0,0.65,1.35,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,4.88,3.76
85,Illia Zabarnyi,Bournemouth,86.36,82.11,66.67,68.15,68.79,9.38,0,88968486,36,35,"3,109",0.73,3.78,0.11,55.73,34.65,0.38,0.08,37.95,46.22,0.24,0.16,1.41,0.97,0.89,0.54,0.35,1.11,4.92,4.24,1.35,0.43,0.05,0.78,0.03,0.32,0.03,0.04,0.02,0.32,0.57,0,0,0
152,Kepa Arrizabalaga,Bournemouth,90,73.23,100,0,0,0,70.83,28d596a0,31,31,"2,790",0,0.06,0,35.06,20.03,0,0,24.26,33.13,0.03,0.03,0.03,0,0.06,0,0.06,0,0.48,1.81,0.06,0.06,0.1,0.13,0,0.03,0,0,0,0.03,0,0,4.32,3.06
580,Dean Huijsen,Bournemouth,75.84,83.38,35.71,61.54,72.16,16.33,0,87278bce,32,26,2427,1.11,3.57,0.27,54.62,30.22,0.54,0.03,36.62,43.92,0.14,0.05,0.97,0.7,1.08,0.78,0.3,1.38,5.35,2.84,0.78,0.3,0.11,1.16,0.08,0.49,0.08,0.05,0.04,0.41,0.84,0.05,0,0
592,Julián Araujo Zúñiga,Bournemouth,41.42,79.19,0,41.3,50,0,0,8f4541c2,12,7,497,0.15,0.54,0.85,10.58,4.85,0.19,0.08,6.85,8.65,0.04,0,0.38,0.19,0.12,0,0.12,0.23,0.69,1.12,0.46,0.27,0,0.19,0,0,0,0,0,0.04,0.12,0.04,0,0
617,Francisco Evanilson de Lima Barbosa,Bournemouth,74.81,71.32,33.33,65.63,62.79,43.08,0,6f3cc2fe,31,28,"2,319",0.78,0.76,2.68,15.08,9,1.03,0.65,6.59,9.24,0.57,0.19,0.43,0.27,0.3,0.05,0.24,0.03,0.57,1.81,0.32,0.11,0,1.65,0.22,1.95,0.84,0.34,0.05,0.7,0.49,0.54,0,0
687,Ben Winterburn,Bournemouth,6,66.67,0,0,0,0,0,ba31eee2,4,0,24,0.03,0,0.03,0.15,0.1,0,0,0.08,0.12,0,0,0,0,0,0,0,0.03,0,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0
707,Remy Rees-Dottin,Bournemouth,1,0,0,0,0,0,0,1db75ccb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,Julio Soler,Bournemouth,3.67,78.95,0,100,100,0,0,98c8559a,3,0,11,0,0,0.03,0.23,0.16,0.01,0,0.15,0.19,0,0,0.01,0.01,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
728,Zain Silcott-Duberry,Bournemouth,1,50,0,100,100,0,0,2f5fa231,1,0,1,0,0,0,0.03,0.01,0,0,0.01,0.02,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Kristoffer Ajer,Brentford,59.92,78.26,43.18,52,69.44,32,0,a8c0acb7,24,17,1438,0.75,1.56,1.22,22.08,10.75,0.42,0.33,14,17.89,0.44,0.19,0.72,0.5,0.47,0.11,0.36,0.33,1.39,1.17,0.75,0.36,0,0.5,0.06,0.25,0.08,0.03,0.01,0.22,0.31,0.06,0,0
88,Nathan Collins,Brentford,90,85.89,50,61.05,60,35.56,0,a8c19eb8,38,38,"3,420",0.84,3.34,0.47,64.08,33.92,0.53,0.21,44.87,52.24,0.32,0.16,1.05,0.63,2.03,1.5,0.53,0.89,5.95,4.26,0.95,0.37,0.08,0.79,0.21,0.45,0.16,0.07,0.04,0.26,0.32,0.16,0,0
89,Mikkel Damsgaard,Brentford,76.61,72.4,51.82,38.04,52.91,20,0,215f3907,38,34,2911,1.66,5.32,3.11,42.8,24.45,1.43,1.07,25.16,34.75,2.2,1.14,1.89,1,0.91,0.07,0.84,0.61,0.7,4.07,1.84,1.14,0.05,2.73,0.48,0.8,0.16,0.06,0.16,1.43,1.23,0.14,0,0
91,Mark Flekken,Brentford,88.51,73.02,100,33.33,100,0,73.77,a92ab7be,37,37,3275,0,0,0,49.3,30.32,0.08,0,33.89,46.41,0.03,0.03,0.11,0.11,0.05,0,0.05,0,0.7,1.05,0.24,0.16,0.11,0.27,0.05,0,0,0,0,0.08,0,0,5.49,4.05
92,Rico Henry,Brentford,19.8,67.26,0,0,100,0,0,8a3c1dc7,5,0,99,0,0.18,0.23,3,1.36,0.14,0.09,1.5,2.23,0.14,0,0.09,0.09,0.18,0.05,0.14,0.05,0.09,0.32,0.18,0.18,0,0.09,0.05,0,0,0,0,0,0.05,0,0,0
94,Vitaly Janelt,Brentford,70.44,82.51,26.67,57.78,57.89,28.57,0,8449d35e,32,27,2254,0.42,2,0.95,32.22,16.27,0.4,0.25,21.8,26.42,0.3,0.08,0.95,0.55,0.82,0.22,0.6,0.68,1.32,2.68,0.9,0.38,0.02,0.8,0.08,0.35,0.1,0.02,0.06,0.35,0.45,0.02,0,0
95,Mathias Jensen,Brentford,35.92,74.69,53.57,51.85,73.91,20,0,0f134faf,24,8,862,0.1,1.02,0.45,9.55,5,0.15,0.12,6.05,8.1,0.28,0.15,0.23,0.17,0.25,0.07,0.18,0.13,0.22,0.8,0.27,0.13,0.03,0.68,0.08,0.1,0.02,0,0.03,0.27,0.2,0,0,0
96,Kim Ji-soo,Brentford,10,89.42,0,0,0,0,0,f4065d9e,3,0,30,0,0.07,0,1.11,0.56,0,0.04,0.93,1.04,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Yunus Emre Konak,Brentford,4.2,70.59,0,100,100,0,0,e02b5b36,10,0,42,0,0.01,0.01,0.25,0.08,0.01,0.01,0.12,0.17,0.01,0,0.02,0.02,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Keane Lewis-Potter,Brentford,81.39,77.14,40.83,62.18,54.7,49.25,0,41f08ac8,38,36,"3,093",2.33,2.33,3.71,38.4,20.67,1.21,0.48,23.38,30.31,2.4,0.98,1.17,0.64,0.67,0.24,0.43,0.5,1.81,3.48,1.19,0.45,0.07,1.69,0.19,0.67,0.33,0.07,0.12,0.62,1.64,0.1,0,0
99,Bryan Mbeumo,Brentford,89.84,66.12,46.92,59.78,63.57,42.79,0,6afaebf2,38,38,"3,414",3.42,3.71,9.24,46.87,28.34,2.79,1.24,22.95,34.71,2.92,1.37,1.29,0.82,0.68,0.08,0.61,0.37,1.45,4.11,0.92,0.37,0.03,3.79,0.53,2.08,0.89,0.32,0.24,1.84,1.82,0.29,0,0
100,Ben Mee,Brentford,26.14,77.6,0,100,100,0,0,8df7a2fb,7,2,183,0.12,0.46,0.08,5.75,3.25,0,0,3.88,5,0,0,0.08,0.08,0.12,0.12,0,0.17,0.29,0.46,0.04,0,0,0,0,0,0,0,0,0,0.04,0,0,0
101,Christian Nørgaard,Brentford,82.91,81.56,48.72,59.11,62.1,38.89,0,df0a4c90,34,34,"2,819",0.39,4.28,1.17,50.06,22.94,0.94,0.56,32.33,39.64,0.39,0.19,2.19,1.36,1.44,0.56,0.89,1.36,1.94,5.36,2.25,0.92,0.03,1.61,0.36,1.08,0.42,0.12,0.04,0.5,0.44,0.03,0,0
102,Frank Onyeka,Brentford,83.42,83.61,33.54,54.55,77.27,24.66,0,2944f86f,31,30,2586,1.39,3.21,2.15,40.58,22.85,1.48,1.03,25.82,30.88,1.64,0.55,1.76,1.36,1.09,0.27,0.82,1.09,1.09,4.45,1.21,0.55,0.06,1.52,0.12,0.73,0.18,0.04,0.06,0.52,1.21,0.09,0,0
104,Ethan Pinnock,Brentford,86.95,85.56,34.15,54.13,54.09,60,0,e541326e,22,21,1913,0.14,1.86,0.41,61.27,28.77,0.09,0.18,42,49.09,0.41,0.14,1.59,0.86,1.32,0.82,0.5,1.09,6.45,2.27,1.09,0.5,0.18,0.95,0,0.45,0.27,0.05,0.03,0.36,0.18,0,0,0
105,Mads Roerslev Rasmussen,Brentford,42.57,83.91,32.56,67.19,90.14,0,0,57c94db2,7,2,298,0.5,0.93,1.29,15.36,7.29,0.14,0.43,10.43,12.43,0.43,0.14,0.71,0.64,0.14,0.14,0,0.36,1.14,0.57,0.64,0.21,0,0.43,0.14,0,0,0,0.01,0.07,0.36,0,0,0
106,Kevin Schade,Brentford,60.34,59.73,33.96,56.1,64.29,48.98,0,52afb588,38,26,"2,293",1.09,0.68,2.95,15.77,7.75,1.07,0.64,5.77,9.66,1.59,0.54,0.7,0.45,0.34,0.07,0.27,0.09,0.61,1.48,0.41,0.18,0,1.02,0.16,0.98,0.48,0.15,0.03,0.41,0.5,0.23,0,0
107,Igor Thiago Nascimento Rodrigues,Brentford,21.88,71.43,56.25,0,56.25,0,0,dc45ac24,8,1,175,0.09,0.12,0.25,2.59,1.41,0.19,0.06,1.25,1.75,0.16,0.09,0.16,0.09,0.09,0,0.09,0.06,0.09,0.38,0.03,0.03,0.03,0.09,0,0.06,0,0,0,0.06,0.09,0.03,0,0
109,Hákon Valdimarsson,Brentford,72.5,65.71,0,0,0,0,75,57a34cf4,2,1,145,0,0,0,36,22,0,0,23,35,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,2,1.5
110,Yoane Wissa,Brentford,83.4,76.53,31.06,41.1,54.24,45.68,0,2500cef9,35,34,"2,919",1.62,1.81,4.16,25,14.86,2.08,0.95,12.16,15.89,1.32,0.41,0.59,0.32,0.78,0.22,0.57,0.22,0.57,2.19,0.73,0.43,0.08,1.86,0.27,2.43,1.11,0.5,0.05,0.73,0.7,0.38,0,0
111,Yehor Yarmoliuk,Brentford,46.77,86.96,47.83,50.54,56.63,20,0,907a5d7c,31,15,1450,0.25,1.07,0.8,16.27,8.81,0.44,0.36,11.2,12.88,0.46,0.22,0.83,0.47,0.44,0.15,0.29,0.22,0.56,1.92,0.93,0.46,0,0.44,0.03,0.15,0.03,0.01,0.02,0.15,0.32,0.03,0,0
314,Fábio Freitas Gouveia Carvalho,Brentford,23.95,70.52,15,44.44,72.22,41.18,0,966e28d0,19,3,455,0.13,0.24,0.32,3.48,1.93,0.18,0.11,1.77,2.51,0.2,0.03,0.18,0.13,0.08,0.01,0.07,0.04,0.03,0.42,0.18,0.1,0,0.14,0.01,0.17,0.07,0.04,0.01,0.06,0.04,0.01,0,0
338,Sepp van den Berg,Brentford,83.42,85.44,57.14,65.91,61.86,29.51,0,7bf9400b,31,29,"2,586",0.36,2.39,0.85,48.64,22.33,0.45,0.21,33.09,38.73,0.21,0.12,1.18,0.73,1.58,1.15,0.42,0.64,4.06,2.94,0.88,0.3,0.09,0.67,0.06,0.61,0.18,0.06,0.02,0.18,0.3,0.03,0,0
674,Paris Maghoma,Brentford,14.88,90.29,75,33.33,50,0,0,8a3ddcd2,8,0,119,0.08,0.27,0.08,2.1,1.42,0.04,0,1.58,1.75,0.08,0.06,0.04,0.02,0.04,0.04,0,0.02,0.04,0.15,0.06,0.04,0,0.08,0.02,0.02,0,0,0,0.02,0.06,0,0,0
757,Michael Kayode,Brentford,44,76.39,50.67,68.52,64.79,0,0,e19660a8,12,6,528,0.5,0.5,1,13.04,6,0.54,0.12,7.67,10.04,0.75,0.38,0.71,0.46,0.12,0,0.12,0.29,0.79,1.42,0.54,0.17,0,0.79,0.12,0.08,0,0.01,0.03,0.33,0.29,0,0,0
113,Simon Adingra,Brighton,37.83,75.8,41.89,36.84,61.76,24.49,0,4dcec659,29,12,1097,0.74,0.26,2,8.06,5.38,0.57,0.18,4.26,5.62,0.74,0.31,0.34,0.21,0.18,0,0.18,0.12,0.09,0.69,0.38,0.24,0.03,0.69,0.1,0.49,0.12,0.04,0.04,0.24,0.31,0.06,0,0
115,Carlos Baleba,Brighton,78.26,87.44,58.22,60,58.13,24.78,0,a1390d2f,34,31,"2,661",1.1,3.03,0.74,43.51,24.9,1,1.08,29.46,33.69,1.46,0.85,2.03,1.18,1.21,0.28,0.92,1.18,1.13,5.05,2.05,0.82,0.03,1.69,0.1,1.13,0.28,0.08,0.03,0.54,1.15,0,0,0
120,Lewis Dunk,Brighton,83.32,91.04,0,57.14,58.73,25,0,282f75f3,25,23,"2,083",0.74,5.26,0.11,78.78,49.67,0.33,0.11,65.85,72.33,0.04,0,0.63,0.37,1.04,0.67,0.37,0.48,2.93,3.85,0.7,0.3,0.07,0.7,0.11,0.44,0.11,0.03,0.04,0.22,0.7,0.07,0,0
122,Pervis Estupiñán,Brighton,80.07,83.11,56.31,66.45,65.99,31.76,0,d38fdf53,30,26,2402,1.79,4,3.39,58.03,31,1.03,0.82,40.55,48.79,1.03,0.58,1.97,1.3,0.61,0.15,0.45,1.12,1.97,4.45,1.55,0.52,0.06,1.76,0.12,0.85,0.27,0.04,0.08,0.79,1.85,0.09,0,0
124,Billy Gilmour,Brighton,45.27,88.54,50,58.97,65.96,11.11,0,df10e27c,26,13,"1,177",0.22,1.31,0.35,19.73,10.59,0.22,0.1,15.76,17.8,0.2,0.1,0.47,0.31,0.12,0.02,0.1,0.18,0.45,1.25,0.39,0.16,0,0.78,0.08,0.18,0.02,0.01,0.04,0.41,0.24,0,0,0
126,Jack Hinshelwood,Brighton,70.85,83.15,18.18,41.46,70.73,54.55,0,e98211e7,26,22,1842,0.58,2.06,1.64,36.33,17.88,0.55,0.09,26.36,31.7,0.33,0.06,0.82,0.58,0.3,0.09,0.21,0.48,1.12,1.91,0.82,0.48,0.03,1.06,0.09,0.55,0.3,0.08,0.05,0.52,0.61,0,0,0
128,Igor Julio dos Santos de Paulo,Brighton,73.92,91.9,82.5,40.3,100,0,0,a4e85758,13,10,961,0.6,3.27,0.07,54.4,35.33,0.07,0,44.73,48.67,0.4,0.33,0.33,0.33,1.6,0.93,0.67,0.27,2.6,2.8,0.67,0.4,0.07,0.93,0,0.07,0,0,0.02,0.13,0.93,0,0,0
129,João Pedro Junqueira de Jesus,Brighton,72.15,72.94,33.72,36.36,75,35.43,0,e8832875,27,23,"1,948",2,2.36,3.88,28.48,18.67,2.18,1.15,14.61,20.03,2.61,0.88,0.48,0.36,0.36,0,0.36,0.27,0.36,1.79,0.33,0.21,0,2.18,0.27,1.27,0.45,0.27,0.09,0.91,1.18,0.06,0,0
130,Kacper Kozłowski,Brighton,78.26,0,0,0,0,32.56,0,3ece036c,27,26,"2,113",0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0.42,0,0,0,0,0,0,0,1.29,0.42,0,0,0,0,0.35,0,0
131,Tariq Lamptey,Brighton,57.33,81.12,31.85,35.78,64.86,34.62,0,f4e433d4,15,10,860,1.39,0.61,1.96,23.26,12.7,0.48,0.22,14.57,17.96,1.35,0.43,0.74,0.48,0.65,0.3,0.35,0.3,1,1.7,1.09,0.7,0.04,0.74,0.13,0.26,0.09,0.02,0.03,0.22,0.74,0,0,0
132,Solly March,Brighton,26,0,0,0,0,0,0,bb5fbd2b,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,James Milner,Brighton,42.5,74.38,100,100,40.32,0,0,2f90f6b8,4,3,170,0.12,1.25,1.25,11.62,5.88,0,0,6.88,9.25,0.12,0.12,0.62,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.38,0,0.12,1,0,0.25,0,0.02,0.02,0.5,0.12,0,0,0
135,Yankuba Minteh,Brighton,57.44,62.48,46.94,37.78,72.92,47.06,0,c3cf087d,32,20,"1,838",1.8,0.96,4.02,16.72,9.62,1.06,0.56,6.96,11.14,1.96,0.92,0.96,0.7,0.44,0,0.44,0.22,0.62,1.7,0.9,0.56,0,1.28,0.26,0.68,0.32,0.08,0.1,0.58,0.48,0.12,0,0
136,Mitoma Kaoru,Brighton,72.31,75.81,39.6,38.74,59.8,46.92,0,74618572,36,28,2603,3.32,2.02,6.61,31.25,18.86,1.2,0.52,17.02,22.45,2.98,1.18,1.02,0.61,1.09,0.07,1.02,0.32,0.23,2.25,1.11,0.68,0,1.98,0.23,1.3,0.61,0.21,0.09,0.84,1.86,0.11,0,0
137,Jakub Moder,Brighton,85.43,77.31,28.67,50,64.5,29.75,0,f230bc30,14,14,"1,196",1.14,3.71,2.14,52.57,24.71,1.36,1.21,31.86,41.21,1.5,0.43,2,1.29,0.93,0.29,0.64,0.93,2.14,3.71,1.86,0.93,0.14,2.5,0.5,1.21,0.36,0.21,0.14,0.93,1,0,0,0
142,Jason Steele,Brighton,90,0,0,0,0,0,0,28300a16,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Jan Paul van Hecke,Brighton,87,88.19,45.16,56.41,64.34,28.57,0,4fd08daa,34,33,2958,1.57,6.51,0.14,73.97,49,0.34,0.2,57.6,65.31,0.31,0.14,1.29,0.83,1.06,0.63,0.43,0.69,4.06,3.74,1.17,0.51,0.06,1.49,0.09,0.49,0.14,0.04,0.04,0.43,1.31,0,0,0
145,Joël Veltman,Brighton,80.81,80.19,26.15,59.73,67.38,15.38,0,dad4b285,21,19,1697,1.39,3.7,1.48,49.26,23.83,0.83,0.3,32.39,40.39,0.65,0.17,1.87,1.26,0.96,0.3,0.65,0.83,2.87,2.96,2.26,0.91,0,1,0.09,0.26,0.04,0.02,0.06,0.26,1.09,0,0,0
146,Bart Verbruggen,Brighton,90,76.87,100,0,0,0,60.96,cf134113,36,36,3240,0,0.06,0,39.06,26.53,0.06,0,28.08,36.53,0.06,0.06,0,0,0.03,0,0.03,0,0.81,1.64,0.08,0.08,0.14,0.14,0.03,0,0,0,0,0.03,0.03,0,3.97,2.42
147,Adam Webster,Brighton,63.36,87.71,31.25,43.24,60.38,19.23,0,c40b6180,14,11,887,0.42,3.32,0.11,43.37,25.05,0.26,0.05,33.47,38.16,0.16,0.05,0.53,0.32,0.84,0.47,0.37,1.05,2.16,1.84,0.74,0.42,0.11,0.74,0.21,0.26,0.05,0.01,0.02,0.16,0.32,0.05,0,0
148,Danny Welbeck,Brighton,70.5,84.91,35.05,39.62,61.76,39.35,0,ce5143da,30,24,"2,115",0.55,1.24,2.5,19.11,11.79,1.29,0.74,10.97,12.92,0.97,0.34,0.68,0.42,0.5,0.11,0.39,0.13,0.37,1.21,0.53,0.32,0,1.39,0.21,1.55,0.61,0.25,0.04,0.61,0.61,0.11,0,0
149,Mats Wieffer,Brighton,40.6,85.11,48.15,68.24,59.05,43.75,0,4876c9ab,25,10,1015,0.33,1.13,0.42,15.76,8.78,0.35,0.16,10.8,12.69,0.27,0.13,1.05,0.62,0.33,0.04,0.29,0.31,0.51,1.24,0.85,0.27,0.05,0.58,0.11,0.16,0.07,0.01,0.02,0.29,0.36,0.02,0,0
595,Brajan Gruda,Brighton,32.71,74.55,43.4,52,50,47.37,0,ae9b998d,21,8,687,0.39,0.46,1,6.04,3.54,0.25,0.37,3.28,4.4,0.53,0.23,0.28,0.14,0.14,0,0.14,0.04,0.09,0.46,0.25,0.12,0.02,0.68,0.11,0.19,0.09,0.02,0.03,0.4,0.33,0.02,0,0
600,Yasin Ayari,Brighton,57.79,81.51,40.23,46.3,54.87,27.78,0,f173303a,34,22,"1,965",0.58,1.44,1.17,23.71,12.6,0.73,0.42,15.25,18.71,0.87,0.35,1.13,0.62,0.46,0.12,0.35,0.38,0.5,2.27,1.08,0.58,0,1.17,0.12,0.54,0.15,0.05,0.05,0.58,0.48,0.06,0,0
618,Georginio Rutter,Brighton,59.14,66.75,37.87,39.53,38.71,24.37,0,c64c01fc,28,19,"1,656",1,1.6,1.88,15.26,8.6,1.07,0.88,5.64,8.45,1.69,0.64,0.93,0.36,0.48,0.07,0.4,0.24,0.31,1.57,0.86,0.52,0.05,1.52,0.19,1.19,0.29,0.11,0.04,0.45,0.86,0.17,0,0
628,Ferdi Kadioglu,Brighton,64.17,82.27,43.18,40.43,60,24,0,66c52a77,6,5,385,0.12,1.88,3.38,28.88,15.5,0.75,0.25,18,21.88,0.88,0.38,1.25,0.75,0.25,0.25,0,1,2.12,1.75,1.88,1.12,0,1.62,0.25,0.5,0.12,0.05,0.04,0.62,0,0.12,0,0
629,Matt O'Riley,Brighton,44.67,76.5,61.29,32.26,55.26,28,0,fb495bb8,21,11,938,0.52,0.9,1.24,12.5,6.55,0.45,0.1,7.52,9.83,0.31,0.19,0.38,0.21,0.17,0.07,0.1,0.31,0.21,0.69,0.31,0.21,0.02,0.95,0.12,0.5,0.14,0.07,0.05,0.5,0.29,0.05,0,0
714,Diego Gómez,Brighton,32.25,80.47,51.85,54,62.5,35,0,916728da,16,4,516,0.18,0.61,0.52,9.16,4.39,0.23,0.2,5.52,6.86,0.27,0.14,0.48,0.3,0.3,0,0.3,0.18,0.23,0.73,0.5,0.23,0.02,0.43,0.09,0.2,0.07,0.02,0.03,0.18,0.09,0.02,0,0
763,Eiran Cashin,Brighton,10,82.05,0,0,0,0,0,f557c3b8,2,0,20,0,0.33,0.06,1.78,1.17,0,0,1.28,1.56,0.06,0,0,0,0,0,0,0,0.11,0.06,0.06,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0
153,Benoît Badiashile,Chelsea,66.8,89.8,0,79.52,66.67,0,0,06df8256,5,3,334,0.5,2.83,0.33,56,29.5,0.17,0,45.5,50.67,0.17,0,1.5,1,0.33,0.33,0,1,2,3,0.83,0.17,0.33,0,0,0,0,0,0.02,0,0.83,0,0,0
157,Moisés Caicedo Corozo,Chelsea,88.18,89.64,45.24,62.83,64,15.09,0,16264a81,38,38,3351,1.13,5.66,0.97,67.87,37.08,0.97,0.66,51.76,57.74,1.68,0.76,3,1.92,1.29,0.26,1.03,1.29,1.58,6.03,2.26,0.84,0.03,2.58,0.24,0.53,0.08,0.02,0.07,0.79,1,0,0,0
159,Trevoh Chalobah,Chelsea,88.33,78.96,60.24,52.08,79.64,35.87,0,5515376c,12,12,"1,060",0.92,2.83,0.5,49.5,23.17,0.33,0.58,29.08,36.83,0.83,0.5,1.67,1.33,1.58,0.75,0.83,1.58,4.75,4.67,1.92,0.92,0.25,0.92,0,0.92,0.33,0.1,0.02,0.33,0.75,0.08,0,0
162,Levi Colwill,Chelsea,89.97,89.27,50,66.23,72.39,22.45,0,700783e7,35,35,"3,149",0.4,3.74,0.34,82.97,46.31,0.4,0.23,66.8,74.83,0.34,0.17,1.34,0.97,1.06,0.71,0.34,0.94,3.37,3.46,0.77,0.26,0.11,1.09,0.09,0.49,0.11,0.05,0.03,0.4,0.34,0.14,0,0
163,Marc Cucurella Saseta,Chelsea,83,87.69,26.32,52.56,66.86,45.16,0,1daec722,36,33,2988,0.9,3.03,3,57.54,24.21,0.72,0.18,43.08,49.13,0.38,0.1,1.72,1.15,1.26,0.41,0.85,0.72,2.44,3.33,1.56,0.74,0.08,1.31,0.13,0.62,0.28,0.07,0.06,0.49,0.56,0.08,0,0
166,Kiernan Dewsbury-Hall,Chelsea,20.31,83.52,57.14,63.64,64.29,0,0,5c74c0f5,13,2,264,0.09,0.25,0.19,3.23,1.67,0.02,0.05,2.23,2.67,0.07,0.04,0.14,0.09,0.04,0,0.04,0.04,0.16,0.16,0.11,0.04,0.02,0.09,0.02,0.02,0,0,0,0.05,0.02,0,0,0
168,Enzo Fernández,Chelsea,81.86,79.89,47.52,36.74,50.9,37.5,0,5ff4ab71,36,32,2947,1.54,5.44,3.23,56.67,31.05,0.74,0.72,38.92,48.72,1.41,0.67,1.67,0.85,1.1,0.18,0.92,0.33,0.59,4,2.15,1.36,0.1,3.77,0.41,1.36,0.51,0.16,0.16,1.97,1.41,0.05,0,0
171,Malo Gusto,Chelsea,58.19,86.49,24.24,52.04,64.13,17.78,0,d56b9520,32,19,1862,1.02,2.43,1.73,32.55,18,0.37,0.35,24.45,28.27,0.33,0.08,0.92,0.59,0.59,0.16,0.43,0.49,1,2.43,0.98,0.47,0.1,1.18,0.08,0.45,0.08,0.03,0.04,0.45,0.73,0.04,0,0
172,Reece James,Chelsea,55.95,83.95,40.35,33.33,90.91,27.03,0,1265a93a,19,12,1063,0.23,2.13,0.4,31.73,16.2,0.23,0.3,23.9,28.47,0.57,0.23,0.33,0.3,0.47,0.2,0.27,0.43,0.77,2.2,0.3,0.2,0.13,0.6,0.1,0.37,0.1,0.01,0.04,0.37,0.13,0,0,0
174,Roméo Lavia,Chelsea,49.81,91.74,63.16,48,58.23,0,0,ecad9aa5,16,11,797,0.11,1.11,0.25,17.61,10.54,0.11,0.25,13.89,15.14,0.57,0.36,0.79,0.46,0.21,0,0.21,0.57,0.36,1.43,0.75,0.39,0.04,0.5,0.07,0.07,0,0.01,0.01,0.25,0.32,0,0,0
