id,name,team,minutes_average,passes_accuracy,take_ons_accuracy,challenges_accuracy,tackles_accuracy,shots_accuracy,saves_accuracy,external_id,matches_played,starts,minutes,progressive_carries,progressive_passes,progressive_passes_received,touches,carries,miscontrols,dispossessed,passes_completed,passes_attempted,take_ons_attempted,successful_take_ons,tackles,tackles_won,blocks,shots_blocked,passes_blocked,interceptions,clearances,recoveries,dribblers_challenged,challenges_lost,errors,shot_creating_actions,goal_creating_actions,shots_total,shots_on_target,expected_goals,expected_assists,key_passes,carries_into_final_third,offsides,gk_shots_on_target_against,gk_saves
20,Thomas Partey,Arsenal,79.91,87.41,68.89,60.51,59.65,34.33,0,529f49ab,35,31,2797,0.92,4.74,1.23,56.23,32.21,0.62,0.44,43.03,49.23,0.9,0.62,2.28,1.36,0.74,0.23,0.51,0.9,1.26,3.54,1.95,0.77,0.1,1.59,0.33,0.67,0.23,0.06,0.07,0.51,1.08,0.03,0,0
21,Kieran Tierney,Arsenal,19.92,83.89,42.86,70,75,66.67,0,fce2302c,13,2,259,0.14,0.26,0.5,3.43,1.86,0.05,0,2.5,2.98,0.07,0.03,0.12,0.09,0,0,0,0.05,0.16,0.1,0.1,0.03,0,0.17,0,0.03,0.02,0.01,0.01,0.14,0.1,0.03,0,0
22,Tomiyasu Takehiro,Arsenal,7,75.76,0,0,0,0,0,b3af9be1,1,0,7,0,0.08,0,0.58,0.08,0,0,0.25,0.33,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0.02,0,0,0,0,0,0
23,Leandro Trossard,Arsenal,67,74.51,44.38,35.82,63.93,29.08,0,38ceb24a,38,28,2546,1.57,1.98,4.43,25.06,16.24,1.29,1.02,13.94,18.71,1.69,0.75,0.61,0.39,0.63,0,0.63,0.18,0.35,2.04,0.67,0.43,0,1.82,0.16,1.41,0.41,0.14,0.08,0.8,1.08,0.12,0,0
24,Benjamin White,Arsenal,70.47,83.82,0,41.99,70.53,23.26,0,35e413f1,17,13,1198,1.1,2.81,2,38.71,18.76,0.48,0.29,27.62,32.95,0.29,0,0.95,0.67,0.48,0.38,0.1,0.76,2.1,1.76,1.81,1.05,0,1.1,0.1,0.43,0.1,0.02,0.07,0.48,0.76,0.05,0,0
25,Oleksandr Zinchenko,Arsenal,35.13,84.67,61.54,38.1,18.75,0,0,51cf8561,15,5,527,0.26,1.26,0.37,13.13,7.39,0.08,0.11,10.05,11.87,0.13,0.08,0.16,0.03,0.21,0.03,0.18,0.13,0.26,0.5,0.21,0.13,0,0.58,0.05,0.26,0,0.02,0.01,0.08,0.21,0.03,0,0
186,Raheem Sterling,Arsenal,29.35,78.55,32.76,47.37,47.06,0,0,b400bde0,17,7,499,0.52,0.35,1.52,5.27,3.87,0.25,0.27,3.04,3.87,0.58,0.19,0.17,0.08,0.06,0,0.06,0.02,0.08,0.31,0.19,0.1,0,0.37,0.06,0.21,0,0.03,0.01,0.15,0.21,0.08,0,0
578,Riccardo Calafiori,Arsenal,51.74,85.58,69.23,62.5,70.73,60,0,aded8e6f,19,11,983,0.67,1.64,0.88,19.79,9.33,0.36,0.15,14.24,16.64,0.39,0.27,0.82,0.58,0.36,0.18,0.18,0.27,0.76,1.06,0.88,0.33,0,0.39,0.06,0.3,0.18,0.03,0.02,0.18,0.45,0.09,0,0
597,Myles Lewis-Skelly,Arsenal,72.5,0,0,0,0,0,0,5dff6c28,2,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,Mikel Merino,Arsenal,56.64,78.18,38.46,56.1,60.95,34.88,0,d080ed5e,28,17,1586,0.25,1.57,2.14,17.8,8.82,0.55,0.61,10.25,13.11,0.52,0.2,1.05,0.64,0.41,0.11,0.3,0.34,0.59,1.95,0.82,0.36,0.05,0.98,0.09,0.86,0.3,0.13,0.03,0.39,0.3,0.16,0,0
665,Nathan Butler-Oyedeji,Arsenal,7,0,0,0,0,100,0,3a686640,1,0,7,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0.01,0,0,0,0,0,0
28,Leon Bailey,Aston Villa,47.46,71.05,38.58,25,68.75,20.97,0,3a233281,24,14,1139,1.29,0.78,2.69,12.11,7.73,0.78,0.56,6.16,8.67,1.27,0.49,0.16,0.11,0.13,0,0.13,0.07,0.27,1.31,0.24,0.18,0,0.84,0.09,0.62,0.13,0.04,0.07,0.36,0.51,0.07,0,0
29,Ross Barkley,Aston Villa,29.05,85.19,76.92,65.22,21.74,30.77,0,3a24769f,20,3,581,0.25,0.59,0.16,7.61,4.54,0.11,0.13,5.52,6.48,0.26,0.2,0.23,0.05,0.15,0.05,0.1,0.16,0.08,0.7,0.23,0.08,0,0.3,0.05,0.26,0.08,0.03,0.01,0.15,0.25,0,0,0
